Question,Option A,Option B,Option C,Option D,Answer
"You have a virtual machine that is currently configured with 2 vCPUs and 4 GB of memory. It is running out of memory. You want to upgrade the virtual machine to have 8 GB of memory. What should you do?","Rely on live migration to move the workload to a machine with more memory.","Use gcloud to add metadata to the VM. Set the key to required-memory-size and the value to 8 GB.","Stop the VM, change the machine type to n1-standard-8, and start the VM.","Stop the VM, increase the memory to 8 GB, and start the VM.",D
"You have production and test workloads that you want to deploy on Compute Engine. Production VMs need to be in a different subnet than the test VMs. All the VMs must be able to reach each other over Internal IP without creating additional routes. Which configuration meets these requirements?","Create a single custom VPC with 2 subnets. Create each subnet in a different region and with a different CIDR range.","Create a single custom VPC with 2 subnets. Create each subnet in the same region and with the same CIDR range.","Create 2 custom VPCs, each with a single subnet in different regions.","Create 2 custom VPCs, each with a single subnet in the same region.",A
"You need to create an autoscaling managed instance group for an HTTPS web application. You want to make sure that unhealthy VMs are recreated. What should you do?","Create a health check on port 443 and use that when creating the Managed Instance Group.","Select Multi-Zone instead of Single-Zone when creating the Managed Instance Group.","In the Instance Template, add the label 'health-check'.","In the Instance Template, add a startup script that sends a heartbeat to the metadata server.",A
"Your company uses BigQuery for data warehousing. Your data science team changes frequently and has few members. You need to allow members of this team to perform queries. You want to follow Google-recommended practices. What should you do?","Create an IAM entry for each data scientist's user account. Assign the BigQuery jobUser role to the group.","Create an IAM entry for each data scientist's user account. Assign the BigQuery dataViewer role to the group.","Create a dedicated Google group in Cloud Identity. Add each data scientist to the group. Assign the BigQuery jobUser role to the group.","Create a dedicated Google group in Cloud Identity. Add each data scientist to the group. Assign the BigQuery dataViewer role to the group.",C
"Your company has a 3-tier solution on Compute Engine. You need to enable communication on TCP port 8080 between tiers: Tier #1 to Tier #2, and Tier #2 to Tier #3. What should you do?","Create ingress firewall rules targeting all instances with Source filter set to specific IP ranges allowing all protocols.","Create ingress firewall rules targeting instances by service accounts allowing TCP:8080.","Create ingress firewall rules targeting instances by service accounts allowing all protocols.","Create egress firewall rules targeting all instances allowing TCP: 8080.",B
"You have a single VPC and a single subnetwork in us-central1. You need to deploy a new instance in europe-west1 that needs access to an application in the first subnetwork. What should you do?","1. Create a subnetwork in the same VPC, in europe-west1. 2. Create the new instance in the new subnetwork and use the first instance's private address as the endpoint.","1. Create a VPC and a subnetwork in europe-west1. 2. Expose the application with an internal load balancer.","1. Create a subnetwork in the same VPC. 2. Use Cloud VPN to connect the two subnetworks.","1. Create a VPC and a subnetwork in europe-west1. 2. Peer the 2 VPCs.",A
"Your research reveals that a development GKE container emitted a huge number of logs, resulting in higher costs. You want to disable the logs quickly using the minimum number of steps. What should you do?","1. Go to the Logs ingestion window in Stackdriver Logging, and disable the log source for the GKE container resource.","1. Go to the Logs ingestion window in Stackdriver Logging, and disable the log source for the GKE Cluster Operations resource.","1. Delete existing clusters. 2. Recreate a new cluster. 3. Clear the option to enable legacy Stackdriver Logging.","1. Delete existing clusters. 2. Recreate a new cluster. 3. Clear legacy Stackdriver Monitoring.",A
"You have a website on App Engine standard. You want 1% of your users to see a new test version. You want to minimize complexity. What should you do?","Deploy the new version in the same application and use the --migrate option.","Deploy the new version in the same application and use the --splits option to give a weight of 99 to the current version and 1 to the new version.","Create a new App Engine application in the same project. Use the App Engine library to proxy 1% of requests.","Create a new App Engine application. Configure your network load balancer to send 1% of traffic.",B
"You have a web application in a managed instance group. You have a new version to gradually deploy. You want to ensure that the available capacity does not decrease during deployment. What should you do?","Perform a rolling-action start-update with maxSurge set to 0 and maxUnavailable set to 1.","Perform a rolling-action start-update with maxSurge set to 1 and maxUnavailable set to 0.","Create a new managed instance group. When healthy, delete the old group.","Update the existing group with the new template. Delete instances to force recreation.",B
"You are building an application that stores relational data. Users across the globe will use it. You need a database solution that can scale with user growth with minimum configuration changes. Which should you use?","Cloud SQL","Cloud Spanner","Cloud Firestore","Cloud Datastore",B
"The engineering team has the Project Creator role. You do not want them to link projects to the billing account. Only the finance team should be able to link a project, but they should not make other changes. What should you do?","Assign the finance team only the Billing Account User role.","Assign the engineering team only the Billing Account User role.","Assign the finance team the Billing Account User role on the billing account and the Project Billing Manager role on the organization.","Assign the engineering team the Billing Account User role and Project Billing Manager role.",C
"You have a GKE application and a Compute Engine instance in another VPC (gce-network) in the same region. The instance needs to connect to the application. You want to minimize effort. What should you do?","1. In GKE, create a Service of type LoadBalancer. 2. Set externalTrafficPolicy to Cluster. 3. Configure the instance to use the load balancer address.","1. In GKE, create a Service of type NodePort. 2. Create a proxy instance. 3. Use iptables to forward traffic.","1. In GKE, create a Service of type LoadBalancer. 2. Add internal annotation. 3. Peer the two VPCs together. 4. Configure the instance to use the load balancer address.","1. In GKE, create a Service of type LoadBalancer. 2. Add a Cloud Armor Security Policy.",C
"Your organization needs to store audit log files for 3 years. You have hundreds of projects. You need a cost-effective approach for log file retention. What should you do?","Create an export to the sink that saves logs from Cloud Audit to BigQuery.","Create an export to the sink that saves logs from Cloud Audit to a Coldline Storage bucket.","Write a custom script that uses logging API to copy logs to BigQuery.","Export logs to Cloud Pub/Sub and write a Cloud Dataflow pipeline to store logs to Cloud SQL.",B
"You want to run a single caching HTTP reverse proxy on GCP for a latency-sensitive website. The proxy consumes almost no CPU. You want a 30-GB in-memory cache and 2 GB for other processes. You want to minimize cost. What should you do?","Create a Cloud Memorystore for Redis instance with 32-GB capacity.","Run it on Compute Engine, and choose a custom instance type with 6 vCPUs and 32 GB of memory.","Run it on Kubernetes Engine using n1-standard-32 instances as nodes.","Run it on Compute Engine, choose n1-standard-1, and add an SSD persistent disk of 32 GB.",A
"You host an application on bare-metal servers. Servers cannot have public IP addresses or internet access. You want to provide the application with access to Cloud Storage following best practices. What should you do?","1. Use nslookup for IP. 2. Negotiate public IP for servers. 3. Only allow egress traffic to storage IPs.","1. Create a VPN tunnel to a VPC. 2. Install Squid proxy on a VM. 3. Configure servers to use that instance as a proxy.","1. Migrate servers to Compute Engine. 2. Create an internal load balancer (ILB) with storage as backend.","1. Using Cloud VPN or Interconnect, create a tunnel to a VPC. 2. Use Cloud Router to create a custom route advertisement for 199.36.153.4/30. 3. Configure DNS to resolve *.googleapis.com as a CNAME to restricted.googleapis.com.",D
"You want to deploy an application on Cloud Run that processes messages from a Cloud Pub/Sub topic. You want to follow Google-recommended practices. What should you do?","1. Create a Cloud Function with Pub/Sub trigger. 2. Call Cloud Run from the function.","1. Grant Pub/Sub Subscriber role to Cloud Run service account. 2. Create subscription. 3. Make application pull messages.","1. Create a service account. 2. Give Cloud Run Invoker role to it. 3. Create a Pub/Sub subscription using that service account and Cloud Run as push endpoint.","1. Deploy on Cloud Run on GKE (Internal). 2. Create subscription. 3. Deploy container in same cluster to send messages.",C
"You need to deploy a container image in a new project. The application receives very few requests per day. You want to minimize costs. What should you do?","Deploy the container on Cloud Run.","Deploy the container on Cloud Run on GKE.","Deploy the container on App Engine Flexible.","Deploy the container on GKE with cluster autoscaling and horizontal pod autoscaling enabled.",A
"Your company recently acquired another company. You would like to consolidate all GCP costs of both organizations onto a single invoice as of tomorrow. What should you do?","Link the acquired company's projects to your company's billing account.","Configure billing accounts to export data into the same BigQuery dataset.","Migrate projects into your organization. Link migrated projects to your billing account.","Create a new organization and billing account. Migrate all projects into the new organization.",A
"You built an application on Cloud Spanner. Your support team needs to monitor the environment but should not have access to table data. You want to follow Google-recommended practices. What should you do?","Add the support team group to the roles/monitoring.viewer role","Add the support team group to the roles/spanner.databaseUser role.","Add the support team group to the roles/spanner.databaseReader role.","Add the support team group to the roles/stackdriver.accounts.viewer role.",A
"You need to send all logs from all Compute Engine instances to a BigQuery dataset called platform-logs. You want to minimize cost. What should you do?","1. Give BigQuery Data Editor role to service accounts. 2. Update metadata with logs-destination: bq://platform-logs.","1. Create logs export to Pub/Sub sink. 2. Use Cloud Function to filter and insert logs.","1. In Cloud Logging, create a filter to view only Compute Engine logs. 2. Click Create Export. 3. Choose BigQuery as Sink Service and platform-logs as Sink Destination.","1. Create Cloud Function with BigQuery User role. 2. Configure function to run INSERT query daily.",C
"You are using Deployment Manager to create a GKE cluster. You also want to create a DaemonSet in the kube-system namespace. You want a solution that uses the fewest possible services. What should you do?","Add the cluster's API as a new Type Provider in Deployment Manager, and use the new type to create the DaemonSet.","Use the Runtime Configurator to create a new Config resource.","Create a Compute Engine instance with a startup script that uses kubectl to create the DaemonSet.","In the cluster's definition, add metadata with kube-system as key and the DaemonSet manifest as value.",A
"You are building an on-premises application that uses AutoML. You need to enable authentication to the APIs from your on-premises environment. What should you do?","Use service account credentials in your on-premises application.","Use gcloud to create a key file for the service account that has appropriate permissions.","Set up direct interconnect between your data center and Google Cloud Platform.","Go to IAM console, grant a user account permissions, and use this user account for authentication.",B
"You are using Container Registry in one project. In another project, you want to create a GKE cluster. You want to ensure that Kubernetes can download images from Container Registry. What should you do?","In the project where the images are stored, grant the Storage Object Viewer IAM role to the service account used by the Kubernetes nodes.","When you create the GKE cluster, choose the Allow full access to all Cloud APIs option.","Create a service account and give it access to Cloud Storage. Create a P12 key and use it as an imagePullSecrets.","Configure the ACLs on each image in Cloud Storage to give read-only access.",A
"You deployed a new application inside your GKE cluster. You check the status and notice that one Pod is still in PENDING status. You want to find out why. What should you do?","Review details of the service object and check for error messages.","Review details of the deployment object and check for error messages.","Review details of the specific Pod and check for warning messages.","View logs of the container in the pod and check for warning messages.",C
"You are setting up a Windows VM on Compute Engine and want to make sure you can log in via RDP. What should you do?","After the VM has been created, use your Google Account credentials to log in.","After the VM has been created, use gcloud compute reset-windows-password to retrieve the login credentials.","When creating the VM, add metadata using 'windows-password' as the key.","Download the JSON private key for the default service account and use it to log in.",B
"You want to configure an SSH connection to a single instance for users in the dev1 group. This instance is the only resource in this project that they should be able to connect to. What should you do?","Set metadata to enable-oslogin=true for the instance. Grant the dev1 group the compute.osLogin role. Direct them to use Cloud Shell.","Set metadata to enable-oslogin=true. Set the service account to no service account.","Enable block project wide keys. Generate an SSH key for each user.","Enable block project wide keys. Generate an SSH key and associate the key with that instance.",A
"You need to produce a list of the enabled Google Cloud Platform APIs for a GCP project using the gcloud command line in the Cloud Shell. What should you do?","Run gcloud projects list to get the project ID, and then run gcloud services list --project <project ID>.","Run gcloud init to set the current project, and then run gcloud services list --available.","Run gcloud info to view the account value, and then run gcloud services list --account <Account>.","Run gcloud projects describe to verify the project value.",A
"You are building a new version of an App Engine application. You want to test the new version with 1% of users before you switch over. What should you do?","Deploy a new version in GKE instead of App Engine.","Deploy a new version in a Compute Engine instance instead of App Engine.","Deploy a new version as a separate app in App Engine.","Deploy a new version of your application in App Engine. Then go to App Engine settings in GCP Console and split traffic accordingly.",D
"You need to provide a cost estimate for a Kubernetes cluster using the GCP pricing calculator. Your workload requires high IOPs and disk snapshots. What should you do next?","Fill in local SSD. Fill in persistent disk storage and snapshot storage.","Fill in local SSD. Add estimated cost for cluster management.","Select Add GPUs. Fill in persistent disk storage and snapshot storage.","Select Add GPUs. Add estimated cost for cluster management.",A
"You are using GKE with autoscaling to host a new application. You want to expose this new application to the public, using HTTPS on a public IP address. What should you do?","Create a Kubernetes Service of type NodePort, and a Kubernetes Ingress to expose this Service via a Cloud Load Balancer.","Create a Kubernetes Service of type ClusterIP. Configure the public DNS name using the IP of this Service.","Create a Kubernetes Service of type NodePort to expose the application on port 443.","Create a HAProxy pod in the cluster to load-balance traffic.",A
"You need to enable traffic between multiple groups of Compute Engine instances in two different projects. Each group is running in its own VPC. What should you do?","Verify both projects are in an Organization. Create a new VPC and add all instances.","Verify both projects are in an Organization. Share the VPC from one project and request that the other project use this shared VPC.","Verify you are Project Administrator of both. Create two new VPCs.","Verify you are Project Administrator of both. Create a new VPC.",B
"You want to add a new auditor to a GCP project. The auditor should be allowed to read, but not modify, all project items. How should you configure the permissions?","Create a custom role with view-only project permissions.","Create a custom role with view-only service permissions.","Select the built-in IAM project Viewer role. Add the user's account to this role.","Select the built-in IAM service Viewer role.",C
"Your ML team needs access to Nvidia Tesla P100 GPUs to train their models in a GKE cluster. You want to minimize effort and cost. What should you do?","Ask your ML team to add the ג€accelerator: gpuג€ annotation to their pod specification.","Recreate all the nodes of the GKE cluster to enable GPUs on all of them.","Create your own Kubernetes cluster on top of Compute Engine.","Add a new, GPU-enabled, node pool to the GKE cluster. Ask your ML team to add the nvidia-tesla-p100 nodeSelector to their pod specification.",D
"Your VMs are running in a subnet that has no more free IP addresses. You require an additional 10 IP addresses. The existing and new VMs should be able to reach each other without additional routes. What should you do?","Use gcloud to expand the IP range of the current subnet.","Delete the subnet, and recreate it using a wider range.","Create a new project. Use Shared VPC.","Create a new subnet with the same starting IP but a wider range to overwrite the current subnet.",A
"Your organization uses G Suite. You want to grant some G Suite users access to your Cloud Platform project. What should you do?","Enable Cloud Identity in the GCP Console for your domain.","Grant them the required IAM roles using their G Suite email address.","Create a CSV with all users' email addresses and convert them into GCP accounts.","In the G Suite console, add the users to a special group. Rely on default behavior.",B
"You have access to both production and development projects. You need to create an automated process to list all compute instances in both projects on a daily basis. What should you do?","Create two configurations using gcloud config. Write a script that sets configurations as active individually and runs gcloud compute instances list.","Create two configurations using gsutil config. Write a script that sets configurations as active individually and runs gsutil compute instances list.","Go to Cloud Shell and export information to Cloud Storage.","Go to GCP Console and export information to Cloud SQL.",A
"You have a large 5-TB AVRO file in Cloud Storage. Analysts proficient only in SQL need access to the data. You want a cost-effective way to complete their request as soon as possible. What should you do?","Load data in Cloud Datastore and run a SQL query.","Create a BigQuery table and load data. Run query and drop table.","Create external tables in BigQuery that point to Cloud Storage buckets and run a SQL query on these external tables.","Create a Hadoop cluster and copy the AVRO file to NDFS.",C
"You need to verify that a Google Cloud Platform service account was created at a particular time. What should you do?","Filter the Activity log to view the Configuration category. Filter the Resource type to Service Account.","Filter the Activity log to view the Configuration category. Filter the Resource type to Google Project.","Filter the Activity log to view the Data Access category. Filter the Resource type to Service Account.","Filter the Activity log to view the Data Access category.",A
"You deployed an LDAP server on Compute Engine reachable via TLS through port 636 using UDP. You want to make sure it is reachable by clients. What should you do?","Add the network tag allow-udp-636 to the VM instance.","Create a route called allow-udp-636 and set the next hop to be the VM instance.","Add a network tag of your choice to the instance. Create a firewall rule to allow ingress on UDP port 636 for that tag.","Add a network tag of your choice. Create a firewall rule to allow egress on UDP port 636.",C
"You need to set a budget alert for use of Compute Engine services on one of the three projects you manage. All three are linked to a single billing account. What should you do?","Verify that you are the project billing administrator. Select the associated billing account and create a budget and alert for the appropriate project.","Verify that you are the project billing administrator. Select the billing account and create a custom alert.","Verify that you are the project administrator. Select the billing account and create a budget.","Verify that you are project administrator. Select the billing account and create a custom alert.",A
"You are migrating a production-critical application that requires 96 vCPUs. You want to make sure the application runs in a similar environment on GCP. What should you do?","When creating the VM, use machine type n1-standard-96.","When creating the VM, use Intel Skylake as the CPU platform.","Create the VM using Compute Engine default settings. Use gcloud to modify the running instance to have 96 vCPUs.","Start the VM using Compute Engine default settings and adjust based on Rightsizing Recommendations.",A
"You want to configure a solution for archiving data in a Cloud Storage bucket. Data with multiple versions should be archived after 30 days. Previous versions are accessed once a month. What should you do?","Add a bucket lifecycle rule that archives data with newer versions after 30 days to Coldline Storage.","Add a bucket lifecycle rule that archives data with newer versions after 30 days to Nearline Storage.","Add a bucket lifecycle rule that archives data from regional storage after 30 days to Coldline Storage.","Add a bucket lifecycle rule that archives data from regional storage after 30 days to Nearline Storage.",B
"Your company's infrastructure is on-premises. You want to burst to Google Cloud. Workloads on Google Cloud must be able to directly communicate to on-premises using a private IP range. What should you do?","In Google Cloud, configure the VPC as a host for Shared VPC.","In Google Cloud, configure the VPC for VPC Network Peering.","Create bastion hosts both on-premises and on Google Cloud.","Set up Cloud VPN between the infrastructure on-premises and Google Cloud.",D
"You want to select and configure a solution for storing and archiving data on GCP. Data is archived after 30 days and needs to be accessed annually. Compliance requires support for data from one geographic location. What should you do?","Select Multi-Regional Storage. Add a bucket lifecycle rule to archive data after 30 days to Coldline.","Select Multi-Regional Storage. Add a bucket lifecycle rule to archive data after 30 days to Nearline.","Select Regional Storage. Add a bucket lifecycle rule to archive data after 30 days to Nearline.","Select Regional Storage. Add a bucket lifecycle rule that archives data after 30 days to Coldline Storage.",D
"Your company uses BigQuery for data warehousing. You have 1000+ datasets across hundreds of projects. Your CIO wants you to find all tables that contain an employee_ssn column with minimum effort. What should you do?","Go to Data Catalog and search for employee_ssn in the search box.","Write a shell script that uses the bq command line tool.","Write a script that loops through all the projects and runs a query on INFORMATION_SCHEMA.COLUMNS.","Write a Cloud Dataflow job that loops through all the projects and runs a query on INFORMATION_SCHEMA.COLUMNS.",A
"You create a Deployment with 2 replicas in a GKE cluster with a single preemptible node pool. After a few minutes, one Pod is still in Pending status. What is the most likely cause?","The pending Pod's resource requests are too large to fit on a single node.","Too many Pods are already running, and there are not enough resources left to schedule the pending Pod.","The node pool service account does not have permission to pull the container image.","The pending Pod was originally scheduled on a node that has been preempted.",B
"You want to find out when users were added to Cloud Spanner IAM roles on your GCP project. What should you do in the GCP Console?","Open the Cloud Spanner console to review configurations.","Open the IAM & admin console to review IAM policies for Cloud Spanner roles.","Go to the Stackdriver Monitoring console and review information.","Go to the Stackdriver Logging console, review admin activity logs, and filter them for Cloud Spanner IAM roles.",D
"Your company query costs for BigQuery are very high, and you need to control costs. Which two methods should you use? (Choose two.)","Split the users from business units to multiple projects.","Apply a user- or project-level custom query quota for BigQuery data warehouse.","Create separate copies of your BigQuery data warehouse.","Split your BigQuery data warehouse into multiple data warehouses.","Change your BigQuery query model from on-demand to flat rate. Apply slots to each Project.", "B, E"
"You are building a product on GKE where each customer has a Pod and can run arbitrary code. You want to maximize the isolation between your customers' Pods. What should you do?","Use Binary Authorization and whitelist only trusted container images.","Use the Container Analysis API to detect vulnerabilities in the containers.","Create a GKE node pool with a sandbox type configured to gvisor. Add runtimeClassName: gvisor to the Pod spec.","Use the cos_containerd image for your GKE nodes. Add a nodeSelector for cos_containerd to the Pod spec.",C
"Your customer uses Cloud Spanner and notices read latency issues on one table accessed by primary key. The primary key person_id is sequential. What should you do?","Remove the profile_picture field from the table.","Add a secondary index on the person_id column.","Change the primary key to not have monotonically increasing values.","Create a secondary index storing profile_picture.",C
"Your finance team wants to view the billing report for your projects. You want to make sure they do not get additional permissions. What should you do?","Add the group for the finance team to roles/billing user role.","Add the group for the finance team to roles/billing admin role.","Add the group for the finance team to roles/billing viewer role.","Add the group for the finance team to roles/billing project/Manager role.",C
"Your organization needs to enable Site Reliability Engineers (SREs) to approve requests from Google Cloud support when an SRE opens a case. You want to follow Google-recommended practices. What should you do?","Add your SREs to roles/iam.roleAdmin role.","Add your SREs to roles/accessapproval.approver role.","Add your SREs to a group and then add this group to roles/iam.roleAdmin role.","Add your SREs to a group and then add this group to roles/accessapproval.approver role.",D
