Question,Option A,Option B,Option C,Option D,Answer
"Your management has asked an external auditor to review all the resources in a specific project. The security team has enabled the Organization Policy called Domain Restricted Sharing on the organization node by specifying only your Cloud Identity domain. You want the auditor to only be able to view, but not modify, the resources in that project. What should you do?","Ask the auditor for their Google account, and give them the Viewer role on the project.","Ask the auditor for their Google account, and give them the Security Reviewer role on the project.","Create a temporary account for the auditor in Cloud Identity, and give that account the Viewer role on the project.","Create a temporary account for the auditor in Cloud Identity, and give that account the Security Reviewer role on the project.",C
"You have a workload running on Compute Engine that is critical to your business. You want to ensure that the data on the boot disk of this workload is backed up regularly. You need to be able to restore a backup as quickly as possible in case of disaster. You also want older backups to be cleaned automatically to save on cost. You want to follow Google-recommended practices. What should you do?","Create a Cloud Function to create an instance template.","Create a snapshot schedule for the disk using the desired interval.","Create a cron job to create a new disk from the disk using gcloud.","Create a Cloud Task to create an image and export it to Cloud Storage.",B
"You need to assign a Cloud Identity and Access Management (Cloud IAM) role to an external auditor. The auditor needs to have permissions to review your Google Cloud Platform (GCP) Audit Logs and also to review your Data Access logs. What should you do?","Assign the auditor the IAM role roles/logging.privateLogViewer. Perform the export of logs to Cloud Storage.","Assign the auditor the IAM role roles/logging.privateLogViewer. Direct the auditor to also review the logs for changes to Cloud IAM policy.","Assign the auditor's IAM user to a custom role that has logging.privateLogEntries.list permission. Perform the export of logs to Cloud Storage.","Assign the auditor's IAM user to a custom role that has logging.privateLogEntries.list permission. Direct the auditor to also review the logs for changes to Cloud IAM policy.",B
"You are managing several Google Cloud Platform (GCP) projects and need access to all logs for the past 60 days. You want to be able to explore and quickly analyze the log contents. You want to follow Google-recommended practices to obtain the combined logs for all projects. What should you do?","Navigate to Stackdriver Logging and select resource.labels.project_id=""*""","Create a Stackdriver Logging Export with a Sink destination to a BigQuery dataset. Configure the table expiration to 60 days.","Create a Stackdriver Logging Export with a Sink destination to Cloud Storage. Create a lifecycle rule to delete objects after 60 days.","Configure a Cloud Scheduler job to read from Stackdriver and store the logs in BigQuery. Configure the table expiration to 60 days.",B
"You need to reduce GCP service costs for a division of your company using the fewest possible steps. You need to turn off all configured services in an existing GCP project. What should you do?","1. Verify that you are assigned the Project Owners IAM role for this project. 2. Locate the project in the GCP console, click Shut down and then enter the project ID.","1. Verify that you are assigned the Project Owners IAM role for this project. 2. Switch to the project in the GCP console, locate the resources and delete them.","1. Verify that you are assigned the Organizational Administrator IAM role for this project. 2. Locate the project in the GCP console, enter the project ID and then click Shut down.","1. Verify that you are assigned the Organizational Administrators IAM role for this project. 2. Switch to the project in the GCP console, locate the resources and delete them.",A
"You are configuring service accounts for an application that spans multiple projects. Virtual machines (VMs) running in the web-applications project need access to BigQuery datasets in crm-databases-proj. You want to follow Google-recommended practices to give access to the service account in the web-applications project. What should you do?","Give ""project owner"" for web-applications appropriate roles to crm-databases-proj.","Give ""project owner"" role to crm-databases-proj and the web-applications project.","Give ""project owner"" role to crm-databases-proj and bigquery.dataViewer role to web-applications.","Give bigquery.dataViewer role to crm-databases-proj and appropriate roles to web-applications.",D
"An employee was terminated, but their access to Google Cloud was not removed until 2 weeks later. You need to find out if this employee accessed any sensitive customer information after their termination. What should you do?","View System Event Logs in Cloud Logging. Search for the user's email as the principal.","View System Event Logs in Cloud Logging. Search for the service account associated with the user.","View Data Access audit logs in Cloud Logging. Search for the user's email as the principal.","View the Admin Activity log in Cloud Logging. Search for the service account associated with the user.",C
"You need to create a custom IAM role for use with a GCP service. All permissions in the role must be suitable for production use. You also want to clearly share with your organization the status of the custom role. This will be the first version of the custom role. What should you do?","Use permissions in your role that use the 'supported' support level for role permissions. Set the role stage to ALPHA while testing the role permissions.","Use permissions in your role that use the 'supported' support level for role permissions. Set the role stage to BETA while testing the role permissions.","Use permissions in your role that use the 'testing' support level for role permissions. Set the role stage to ALPHA while testing the role permissions.","Use permissions in your role that use the 'testing' support level for role permissions. Set the role stage to BETA while testing the role permissions.",A
"Your company has a large quantity of unstructured data in different file formats. You want to perform ETL transformations on the data. You need to make the data accessible on Google Cloud so it can be processed by a Dataflow job. What should you do?","Upload the data to BigQuery using the bq command line tool.","Upload the data to Cloud Storage using the gsutil command line tool.","Upload the data into Cloud SQL using the import function in the console.","Upload the data into Cloud Spanner using the import function in the console.",B
"You need to manage multiple Google Cloud projects in the fewest steps possible. You want to configure the Google Cloud SDK command line interface (CLI) so that you can easily manage multiple projects. What should you do?","1. Create a configuration for each project you need to manage. 2. Activate the appropriate configuration when you work with each of your assigned Google Cloud projects.","1. Create a configuration for each project you need to manage. 2. Use gcloud init to update the configuration values when you need to work with a non-default project","1. Use the default configuration for one project you need to manage. 2. Activate the appropriate configuration when you work with each of your assigned Google Cloud projects.","1. Use the default configuration for one project you need to manage. 2. Use gcloud init to update the configuration values when you need to work with a non-default project.",A
"Your managed instance group raised an alert stating that new instance creation has failed to create new instances. You need to maintain the number of running instances specified by the template to be able to process expected application traffic. What should you do?","Create an instance template that contains valid syntax which will be used by the instance group. Delete any persistent disks with the same name as instance names.","Create an instance template that contains valid syntax that will be used by the instance group. Verify that the instance name and persistent disk name values are not the same in the template.","Verify that the instance template being used by the instance group contains valid syntax. Delete any persistent disks with the same name as instance names. Set the disks.autoDelete property to true in the instance template.","Delete the current instance template and replace it with a new instance template. Verify that the instance name and persistent disk name values are not the same in the template. Set the disks.autoDelete property to true in the instance template.",A
"Your company is moving from an on-premises environment to Google Cloud. You have multiple development teams that use Cassandra environments as backend databases. They all need a development environment that is isolated from other Cassandra instances. You want to move to Google Cloud quickly and with minimal support effort. What should you do?","1. Build an instruction guide to install Cassandra on Google Cloud. 2. Make the instruction guide accessible to your developers.","1. Advise your developers to go to Cloud Marketplace. 2. Ask the developers to launch a Cassandra image for their development work.","1. Build a Cassandra Compute Engine instance and take a snapshot of it. 2. Use the snapshot to create instances for your developers.","1. Build a Cassandra Compute Engine instance and take a snapshot of it. 2. Upload the snapshot to Cloud Storage and make it accessible to your developers. 3. Build instructions to create a Compute Engine instance from the snapshot so that developers can do it themselves.",B
"You have a Compute Engine instance hosting a production application. You want to receive an email if the instance consumes more than 90% of its CPU resources for more than 15 minutes. You want to use Google services. What should you do?","1. Create a consumer Gmail account. 2. Write a script that monitors the CPU usage. 3. When the CPU usage exceeds the threshold, have that script send an email using the Gmail account and smtp.gmail.com on port 25 as SMTP server.","1. Create a Cloud Monitoring Workspace and associate your Google Cloud Platform (GCP) project with it. 2. Create a Cloud Monitoring Alerting Policy that uses the threshold as a trigger condition. 3. Configure your email address in the notification channel.","1. Create a Cloud Monitoring Workspace and associate your GCP project with it. 2. Write a script that monitors the CPU usage and sends it as a custom metric to Cloud Monitoring. 3. Create an uptime check for the instance in Cloud Monitoring.","1. In Cloud Logging, create a logs-based metric to extract the CPU usage by using this regular expression: CPU Usage: ([0-9] {1,3})% 2. In Cloud Monitoring, create an Alerting Policy based on this metric. 3. Configure your email address in the notification channel.",B
"You have an application that uses Cloud Spanner as a backend database. The application has a very predictable traffic pattern. You want to automatically scale up or down the number of Spanner nodes depending on traffic. What should you do?","Create a cron job that runs on a scheduled basis to review Cloud Monitoring metrics, and then resize the Spanner instance accordingly.","Create a Cloud Monitoring alerting policy to send an alert to oncall SRE emails when Cloud Spanner CPU exceeds the threshold. SREs would scale resources up or down accordingly.","Create a Cloud Monitoring alerting policy to send an alert to Google Cloud Support email when Cloud Spanner CPU exceeds your threshold. Google support would scale resources up or down accordingly.","Create a Cloud Monitoring alerting policy to send an alert to webhook when Cloud Spanner CPU is over or under your threshold. Create a Cloud Function that listens to HTTP and resizes Spanner resources accordingly.",D
"Your company publishes large files on an Apache web server that runs on a Compute Engine instance. The Apache web server is not the only application running in the project. You want to receive an email when the egress network costs for the server exceed 100 dollars for the current month as measured by Google Cloud. What should you do?","Set up a budget alert on the project with an amount of 100 dollars, a threshold of 100%, and notification type of email.","Set up a budget alert on the billing account with an amount of 100 dollars, a threshold of 100%, and notification type of email.","Export the billing data to BigQuery. Create a Cloud Function that uses BigQuery to sum the egress network costs of the exported billing data for the Apache web server for the current month and sends an email if it is over 100 dollars. Schedule the Cloud Function using Cloud Scheduler to run hourly.","Use the Cloud Logging Agent to export the Apache web server logs to Cloud Logging. Create a Cloud Function that uses BigQuery to parse the HTTP response log data in Cloud Logging for the current month and sends an email if the size of all HTTP responses, multiplied by current Google Cloud egress prices, totals over 100 dollars. Schedule the Cloud Function using Cloud Scheduler to run hourly.",C
"You have designed a solution on Google Cloud that uses multiple Google Cloud products. Your company has asked you to estimate the costs of the solution. You need to provide estimates for the monthly total cost. What should you do?","For each Google Cloud product in the solution, review the pricing details on the products pricing page. Use the pricing calculator to total the monthly costs for each Google Cloud product.","For each Google Cloud product in the solution, review the pricing details on the products pricing page. Create a Google Sheet that summarizes the expected monthly costs for each product.","Provision the solution on Google Cloud. Leave the solution provisioned for 1 week. Navigate to the Billing Report page in the Cloud Console. Multiply the 1 week cost to determine the monthly costs.","Provision the solution on Google Cloud. Leave the solution provisioned for 1 week. Use Cloud Monitoring to determine the provisioned and used resource amounts. Multiply the 1 week cost to determine the monthly costs.",A
"You have an application that receives SSL-encrypted TCP traffic on port 443. Clients for this application are located all over the world. You want to minimize latency for the clients. Which load balancing option should you use?","HTTPS Load Balancer","Network Load Balancer","SSL Proxy Load Balancer","Internal TCP/UDP Load Balancer. Add a firewall rule allowing ingress traffic from 0.0.0.0/0 on the target instances.",C
"You have an application on a general-purpose Compute Engine instance that is experiencing excessive disk read throttling on its Zonal SSD Persistent Disk. The application primarily reads large files from disk. The disk size is currently 350 GB. You want to provide the maximum amount of throughput while minimizing costs. What should you do?","Increase the size of the disk to 1 TB.","Increase the allocated CPU to the instance.","Migrate to use a Local SSD on the instance.","Migrate to use a Regional SSD on the instance.",C
"Your Dataproc cluster runs in a single Virtual Private Cloud (VPC) network in a single subnet with range 172.16.20.128/25. There are no private IP addresses available in the VPC network. You want to add new VMs to communicate with your cluster using the minimum number of steps. What should you do?","Modify the existing subnet range to 172.16.20.0/24.","Create a new Secondary IP Range in the VPC and configure the VMs to use that range.","Create a new VPC network for the VMs. Enable VPC Peering between the VMs' VPC network and the Dataproc cluster VPC network.","Create a new VPC network for the VMs with a subnet of 172.32.0.0/16. Enable VPC network Peering between the Dataproc VPC network and the VMs VPC network. Configure a custom Route exchange.",C
"You manage an App Engine Service that aggregates and visualizes data from BigQuery. The application is deployed with the default App Engine Service account. The data that needs to be visualized resides in a different project managed by another team. You do not have access to this project, but you want your application to be able to read data from the BigQuery dataset. What should you do?","Ask the other team to grant your default App Engine Service account the role of BigQuery Job User.","Ask the other team to grant your default App Engine Service account the role of BigQuery Data Viewer.","In Cloud IAM of your project, ensure that the default App Engine service account has the role of BigQuery Data Viewer.","In Cloud IAM of your project, grant a newly created service account from the other team the role of BigQuery Job User in your project.",B
"You need to create a copy of a custom Compute Engine virtual machine (VM) to facilitate an expected increase in application traffic due to a business acquisition. What should you do?","Create a Compute Engine snapshot of your base VM. Create your images from that snapshot.","Create a Compute Engine snapshot of your base VM. Create your instances from that snapshot.","Create a custom Compute Engine image from a snapshot. Create your images from that image.","Create a custom Compute Engine image from a snapshot. Create your instances from that image.",D
"You have deployed an application on a single Compute Engine instance. The application writes logs to disk. Users start reporting errors with the application. You want to diagnose the problem. What should you do?","Navigate to Cloud Logging and view the application logs.","Connect to the instance's serial console and read the application logs.","Configure a Health Check on the instance and set a Low Healthy Threshold value.","Install and configure the Cloud Logging Agent and view the logs from Cloud Logging.",D
"An application generates daily reports in a Compute Engine virtual machine (VM). The VM is in the project corp-iot-insights. Your team operates only in the project corp-aggregate-reports and needs a copy of the daily exports in the bucket corp-aggregate-reports-storage. You want to configure access so that the daily reports from the VM are available in the bucket corp-aggregate-reports-storage and use as few steps as possible while following Google-recommended practices. What should you do?","Move both projects under the same folder.","Grant the VM Service Account the role Storage Object Creator on corp-aggregate-reports-storage.","Create a Shared VPC network between both projects. Grant the VM Service Account the role Storage Object Creator on corp-iot-insights.","Make corp-aggregate-reports-storage public and create a folder with a pseudo-randomized suffix name. Share the folder with the IoT team.",B
"You built an application on your development laptop that uses Google Cloud services. Your application uses Application Default Credentials for authentication and works fine on your development laptop. You want to migrate this application to a Compute Engine virtual machine (VM) and set up authentication using Google-recommended practices and minimal changes. What should you do?","Assign appropriate access for Google services to the service account used by the Compute Engine VM.","Create a service account with appropriate access for Google services, and configure the application to use this account.","Store credentials for service accounts with appropriate access for Google services in a config file, and deploy this config file with your application.","Store credentials for your user account with appropriate access for Google services in a config file, and deploy this config file with your application.",A
"You need to create a Compute Engine instance in a new project that doesn't exist yet. What should you do?","Using the Cloud SDK, create a new project, enable the Compute Engine API in that project, and then create the instance specifying your new project.","Enable the Compute Engine API in the Cloud Console, use the Cloud SDK to create the instance, and then use the --project flag to specify a new project.","Using the Cloud SDK, create the new instance, and use the --project flag to specify the new project. Answer yes when prompted by Cloud SDK to enable the Compute Engine API.","Enable the Compute Engine API in the Cloud Console. Go to the Compute Engine section of the Console to create a new instance, and look for the Create In A New Project option in the creation form.",A
"Your company runs one batch process in an on-premises server that takes around 30 hours to complete. The task runs monthly, can be performed offline, and must be restarted if interrupted. You want to migrate this workload to the cloud while minimizing cost. What should you do?","Migrate the workload to a Compute Engine Preemptible VM.","Migrate the workload to a Google Kubernetes Engine cluster with Preemptible nodes.","Migrate the workload to a Compute Engine VM. Start and stop the instance as needed.","Create an Instance Template with Preemptible VMs On. Create a Managed Instance Group from the template and adjust Target CPU Utilization. Migrate the workload.",C
"You are developing a new application and are looking for a Jenkins installation to build and deploy your source code. You want to automate the installation as quickly and easily as possible. What should you do?","Deploy Jenkins through the Google Cloud Marketplace.","Create a new Compute Engine instance. Run the Jenkins executable.","Create a new Kubernetes Engine cluster. Create a deployment for the Jenkins image.","Create an instance template with the Jenkins executable. Create a managed instance group with this template.",A
"You have downloaded and installed the gcloud command line interface (CLI) and have authenticated with your Google Account. Most of your Compute Engine instances in your project run in the europe-west1-d zone. You want to avoid having to specify this zone with each CLI command when managing these instances. What should you do?","Set the europe-west1-d zone as the default zone using the gcloud config subcommand.","In the Settings page for Compute Engine under Default location, set the zone to europe-west1-d.","In the CLI installation directory, create a file called default.conf containing zone=europe-west1-d.","Create a Metadata entry on the Compute Engine page with key compute/zone and value europe-west1-d.",A
"The core business of your company is to rent out construction equipment at large scale. All the equipment that is being rented out has been equipped with multiple sensors that send event information every few seconds. These signals can vary from engine status, distance traveled, fuel level, and more. Customers are billed based on the consumption monitored by these sensors. You expect high throughput up to thousands of events per hour per device and need to retrieve consistent data based on the time of the event. Storing and retrieving individual signals should be atomic. What should you do?","Create a file in Cloud Storage per device and append new data to that file.","Create a file in Cloud Filestore per device and append new data to that file.","Ingest the data into Datastore. Store data in an entity group based on the device.","Ingest the data into Cloud Bigtable. Create a row key based on the event timestamp.",D
"You are asked to set up application performance monitoring on Google Cloud projects A, B, and C as a single pane of glass. You want to monitor CPU, memory, and disk. What should you do?","Enable API and then share charts from project A, B, and C.","Enable API and then give the metrics.reader role to projects A, B, and C.","Enable API and then use default dashboards to view all projects in sequence.","Enable API, create a workspace under project A, and then add projects B and C.",D
"You created several resources in multiple Google Cloud projects. All projects are linked to different billing accounts. To better estimate future charges, you want to have a single visual representation of all costs incurred. You want to include new cost data as soon as possible. What should you do?","Configure Billing Data Export to BigQuery and visualize the data in Data Studio.","Visit the Cost Table page to get a CSV export and visualize it using Data Studio.","Fill all resources in the Pricing Calculator to get an estimate of the monthly cost.","Use the Reports view in the Cloud Billing Console to view the desired cost information.",A
"Your company has workloads running on Compute Engine and on-premises. The Google Cloud Virtual Private Cloud (VPC) is connected to your WAN over a Virtual Private Network (VPN). You need to deploy a new Compute Engine instance and ensure that no public Internet traffic can be routed to it. What should you do?","Create the instance without a public IP address.","Create the instance with Private Google Access enabled.","Create a deny-all egress firewall rule on the VPC network.","Create a route on the VPC to route all traffic to the instance over the VPN tunnel.",A
"Your team maintains the infrastructure for your organization. The current infrastructure requires changes. You need to share your proposed changes with the rest of the team. You want to follow Google's recommended best practices. What should you do?","Use Deployment Manager templates to describe the proposed changes and store them in a Cloud Storage bucket.","Use Deployment Manager templates to describe the proposed changes and store them in Cloud Source Repositories.","Apply the changes in a development environment, run gcloud compute instances list, and then save the output in a shared Storage bucket.","Apply the changes in a development environment, run gcloud compute instances list, and then save the output in Cloud Source Repositories.",B
"You have a Compute Engine instance hosting an application used between 9 AM and 6 PM on weekdays. You want to back up this instance daily for disaster recovery purposes. You want to keep the backups for 30 days. You want the Google-recommended solution with the least management overhead and the least number of services. What should you do?","1. Update your instances' metadata to add the following value: snapshot-schedule: 0 1 * * * 2. Update your instances' metadata to add the following value: snapshot-retention: 30","1. In the Cloud Console, go to the Compute Engine Disks page and select your instance's disk. 2. In the Snapshot Schedule section, select Create Schedule and configure the following parameters: - Schedule frequency: Daily - Start time: 1:00 AM - 2:00 AM - Autodelete snapshots after: 30 days","1. Create a Cloud Function that creates a snapshot of your instance's disk. 2. Create a Cloud Function that deletes snapshots that are older than 30 days. 3. Use Cloud Scheduler to trigger both Cloud Functions daily at 1:00 AM.","1. Create a bash script in the instance that copies the content of the disk to Cloud Storage. 2. Create a bash script in the instance that deletes data older than 30 days in the backup Cloud Storage bucket. 3. Configure the instance's crontab to execute these scripts daily at 1:00 AM.",B
"Your existing application running in Google Kubernetes Engine (GKE) consists of multiple pods running on four GKE n1-standard-2 nodes. You need to deploy additional pods requiring n2-highmem-16 nodes without any downtime. What should you do?","Use gcloud container clusters upgrade. Deploy the new services.","Create a new Node Pool and specify machine type n2-highmem-16. Deploy the new pods.","Create a new cluster with n2-highmem-16 nodes. Redeploy the pods and delete the old cluster.","Create a new cluster with both n1-standard-2 and n2-highmem-16 nodes. Redeploy the pods and delete the old cluster.",B
"You have an application that uses Cloud Spanner as a database backend to keep current state information about users. Cloud Bigtable logs all events triggered by users. You export Cloud Spanner data to Cloud Storage during daily backups. One of your analysts asks you to join data from Cloud Spanner and Cloud Bigtable for specific users. You want to complete this ad hoc request as efficiently as possible. What should you do?","Create a dataflow job that copies data from Cloud Bigtable and Cloud Storage for specific users.","Create a dataflow job that copies data from Cloud Bigtable and Cloud Spanner for specific users.","Create a Cloud Dataproc cluster that runs a Spark job to extract data from Cloud Bigtable and Cloud Storage for specific users.","Create two separate BigQuery external tables on Cloud Storage and Cloud Bigtable. Use the BigQuery console to join these tables through user fields, and apply appropriate filters.",D
"You are hosting an application from Compute Engine virtual machines (VMs) in us-central1-a. You want to adjust your design to support the failure of a single Compute Engine zone, eliminate downtime, and minimize cost. What should you do?","Create Compute Engine resources in us-central1-b. Balance the load across both us-central1-a and us-central1-b.","Create a Managed Instance Group and specify us-central1-a as the zone. Configure the Health Check with a short Health Interval.","Create an HTTP(S) Load Balancer. Create one or more global forwarding rules to direct traffic to your VMs.","Perform regular backups of your application. Create a Cloud Monitoring Alert and be notified if your application becomes unavailable. Restore from backups when notified.",A
"A colleague handed over a Google Cloud Platform project for you to maintain. As part of a security checkup, you want to review who has been granted the Project Owner role. What should you do?","In the console, validate which SSH keys have been stored as project-wide keys.","Navigate to Identity-Aware Proxy and check the permissions for these resources.","Enable Audit Logs on the IAM & admin page for all resources, and validate the results.","Use the command gcloud projects get-iam-policy to view the current role assignments.",D
"You are running multiple VPC-native Google Kubernetes Engine clusters in the same subnet. The IPs available for the nodes are exhausted, and you want to ensure that the clusters can grow in nodes when needed. What should you do?","Create a new subnet in the same region as the subnet being used.","Add an alias IP range to the subnet used by the GKE clusters.","Create a new VPC, and set up VPC peering with the existing VPC.","Expand the CIDR range of the relevant subnet for the cluster.",D
"You have a batch workload that runs every night and uses a large number of virtual machines (VMs). It is fault-tolerant and can tolerate some of the VMs being terminated. The current cost of VMs is too high. What should you do?","Run a test using simulated maintenance events. If the test is successful, use preemptible N1 Standard VMs when running future jobs.","Run a test using simulated maintenance events. If the test is successful, use N1 Standard VMs when running future jobs.","Run a test using a managed instance group. If the test is successful, use N1 Standard VMs in the managed instance group when running future jobs.","Run a test using N1 standard VMs instead of N2. If the test is successful, use N1 Standard VMs when running future jobs.",A
"You are working with a user to set up an application in a new VPC behind a firewall. The user is concerned about data egress. You want to configure the fewest open egress ports. What should you do?","Set up a low-priority (65534) rule that blocks all egress and a high-priority rule (1000) that allows only the appropriate ports.","Set up a high-priority (1000) rule that pairs both ingress and egress ports.","Set up a high-priority (1000) rule that blocks all egress and a low-priority (65534) rule that allows only the appropriate ports.","Set up a high-priority (1000) rule to allow the appropriate ports.",A
