Question Number,Question Text,Options,Answer (Blue Tick)
175,"You have developed an application that consists of multiple microservices with each microservice packaged in its own Docker container image. You want to deploy the entire application on Google Kubernetes Engine so that each microservice can be scaled individually. What should you do?","A. Create and deploy a Custom Resource Definition per microservice. | B. Create and deploy a Docker Compose File. | C. Create and deploy a Job per microservice. | D. Create and deploy a Deployment per microservice.",D
176,"You will have several applications running on different Compute Engine instances in the same project. You want to specify at a more granular level the service account each instance uses when calling Google Cloud APIs. What should you do?","A. When creating the instances specify a Service Account for each instance. | B. When creating the instances assign the name of each Service Account as instance metadata. | C. After starting the instances use gcloud compute instances update to specify a Service Account for each instance. | D. After starting the instances use gcloud compute instances update to assign the name of the relevant Service Account as instance metadata.",A
177,"You are creating an application that will run on Google Kubernetes Engine. You have identified MongoDB as the most suitable database system for your application and want to deploy a managed MongoDB environment that provides a support SLA. What should you do?","A. Create a Cloud Bigtable cluster and use the HBase API. | B. Deploy MongoDB Atlas from the Google Cloud Marketplace. | C. Download a MongoDB installation package and run it on Compute Engine instances. | D. Download a MongoDB installation package and run it on a Managed Instance Group.",B
178,"You are managing a project for the Business Intelligence (BI) department in your company. A data pipeline ingests data into BigQuery via streaming. You want the users in the BI department to be able to run the custom SQL queries against the latest data in BigQuery. What should you do?","A. Create a Data Studio dashboard that uses the related BigQuery tables as a source and give the BI team view access to the Data Studio dashboard. | B. Create a Service Account for the BI team and distribute a new private key to each member of the BI team. | C. Use Cloud Scheduler to schedule a batch Dataflow job to copy the data from BigQuery to the BI team's internal data warehouse. | D. Assign the IAM role of BigQuery User to a Google Group that contains the members of the BI team.",D
179,"Your company is moving its entire workload to Compute Engine. Some servers should be accessible through the Internet and other servers should only be accessible over the internal network. All servers need to be able to talk to each other over specific ports and protocols. The current on-premises network relies on a demilitarized zone (DMZ) for the public servers and a Local Area Network (LAN) for the private servers. You need to design the networking infrastructure on Google Cloud to match these requirements. What should you do?","A. 1. Create a single VPC with a subnet for the DMZ and a subnet for the LAN. 2. Set up firewall rules to open up relevant traffic between the DMZ and the LAN subnets and another firewall rule to allow public ingress traffic for the DMZ. | B. 1. Create a single VPC with a subnet for the DMZ and a subnet for the LAN. 2. Set up firewall rules to open up relevant traffic between the DMZ and the LAN subnets and another firewall rule to allow public egress traffic for the DMZ. | C. 1. Create a VPC with a subnet for the DMZ and another VPC with a subnet for the LAN. 2. Set up firewall rules to open up relevant traffic between the DMZ and the LAN subnets and another firewall rule to allow public ingress traffic for the DMZ. | D. 1. Create a VPC with a subnet for the DMZ and another VPC with a subnet for the LAN. 2. Set up firewall rules to open up relevant traffic between the DMZ and the LAN subnets and another firewall rule to allow public egress traffic for the DMZ.",A
180,"You have just created a new project which will be used to deploy a globally distributed application. You will use Cloud Spanner for data storage. You want to create a Cloud Spanner instance. You want to perform the first step in preparation of creating the instance. What should you do?","A. Enable the Cloud Spanner API. | B. Configure your Cloud Spanner instance to be multi-regional. | C. Create a new VPC network with subnetworks in all desired regions. | D. Grant yourself the IAM role of Cloud Spanner Admin.",A
181,"You have created a new project in Google Cloud through the gcloud command line interface (CLI) and linked a billing account. You need to create a new Compute Engine instance using the CLI. You need to perform the prerequisite steps. What should you do?","A. Create a Cloud Monitoring Workspace. | B. Create a VPC network in the project. | C. Enable the compute.googleapis.com API. | D. Grant yourself the IAM role of Computer Admin.",C
182,"Your company has developed a new application that consists of multiple microservices. You want to deploy the application to Google Kubernetes Engine (GKE) and you want to ensure that the cluster can scale as more applications are deployed in the future. You want to avoid manual intervention when each new application is deployed. What should you do?","A. Deploy the application on GKE and add a HorizontalPodAutoscaler to the deployment. | B. Deploy the application on GKE and add a VerticalPodAutoscaler to the deployment. | C. Create a GKE cluster with autoscaling enabled on the node pool. Set a minimum and maximum for the size of the node pool. | D. Create a separate node pool for each application and deploy each application to its dedicated node pool.",C
183,"You need to manage a third-party application that will run on a Compute Engine instance. Other Compute Engine instances are already running with default configuration. Application installation files are hosted on Cloud Storage. You need to access these files from the new instance without allowing other virtual machines (VMs) to access these files. What should you do?","A. Create the instance with the default Compute Engine service account. Grant the service account permissions on Cloud Storage. | B. Create the instance with the default Compute Engine service account. Add metadata to the objects on Cloud Storage that matches the metadata on the new instance. | C. Create a new service account and assign this service account to the new instance. Grant the service account permissions on Cloud Storage. | D. Create a new service account and assign this service account to the new instance. Add metadata to the objects on Cloud Storage that matches the metadata on the new instance.",C
184,"You need to configure optimal data storage for files stored in Cloud Storage for minimal cost. The files are used in a mission-critical analytics pipeline that is used continually. The users are in Boston MA (United States). What should you do?","A. Configure regional storage for the region closest to the users. Configure a Nearline storage class. | B. Configure regional storage for the region closest to the users. Configure a Standard storage class. | C. Configure dual-regional storage for the dual region closest to the users. Configure a Nearline storage class. | D. Configure dual-regional storage for the dual region closest to the users. Configure a Standard storage class.",B
185,"You are developing a new web application that will be deployed on Google Cloud Platform. As part of your release cycle you want to test updates to your application on a small portion of real user traffic. The majority of the users should still be directed towards a stable version of your application. What should you do?","A. Deploy the application on App Engine. For each update create a new version of the same service. Configure traffic splitting to send a small percentage of traffic to the new version. | B. Deploy the application on App Engine. For each update create a new service. Configure traffic splitting to send a small percentage of traffic to the new service. | C. Deploy the application on Kubernetes Engine. For a new release update the deployment to use the new version. | D. Deploy the application on Kubernetes Engine. For a new release create a new deployment for the new version. Update the service to use the new deployment.",A
186,"You need to add a group of new users to Cloud Identity. Some of the users already have existing Google accounts. You want to follow one of Google's recommended practices and avoid conflicting accounts. What should you do?","A. Invite the user to transfer their existing account. | B. Invite the user to use an email alias to resolve the conflict. | C. Tell the user that they must delete their existing account. | D. Tell the user to remove all personal email from the existing account.",A
187,"You need to manage a Cloud Spanner instance for best query performance. Your instance in production runs in a single Google Cloud region. You need to improve performance in the shortest amount of time. You want to follow Google best practices for service configuration. What should you do?","A. Create an alert in Cloud Monitoring to alert when the percentage of high priority CPU utilization reaches 45%. If you exceed this threshold add nodes to your instance. | B. Create an alert in Cloud Monitoring to alert when the percentage of high priority CPU utilization reaches 45%. Use database query statistics to identify queries that result in high CPU usage and then rewrite those queries to optimize their resource usage. | C. Create an alert in Cloud Monitoring to alert when the percentage of high priority CPU utilization reaches 65%. If you exceed this threshold add nodes to your instance. | D. Create an alert in Cloud Monitoring to alert when the percentage of high priority CPU utilization reaches 65%. Use database query statistics to identify queries that result in high CPU usage and then rewrite those queries to optimize their resource usage.",C
188,"Your company has an internal application for managing transactional orders. The application is used exclusively by employees in a single physical location. The application requires strong consistency fast queries and ACID guarantees for multi-table transactional updates. The first version of the application is implemented in PostgreSQL and you want to deploy it to the cloud with minimal code changes. Which database is most appropriate for this application?","A. BigQuery | B. Cloud SQL | C. Cloud Spanner | D. Cloud Datastore.",B
189,"You are assigned to maintain a Google Kubernetes Engine (GKE) cluster named 'dev' that was deployed on Google Cloud. You want to manage the GKE configuration using the command line interface (CLI). You have just downloaded and installed the Cloud SDK. You want to ensure that future CLI commands by default address this specific cluster What should you do?","A. Use the command gcloud config set container/cluster dev. | B. Use the command gcloud container clusters update dev. | C. Create a file called gke.default in the ~/.gcloud folder that contains the cluster name. | D. Create a file called defaults.json in the ~/.gcloud folder that contains the cluster name.",A
190,"The sales team has a project named Sales Data Digest that has the ID acme-data-digest. You need to set up similar Google Cloud resources for the marketing team but their resources must be organized independently of the sales team. What should you do?","A. Grant the Project Editor role to the Marketing team for acme-data-digest. | B. Create a Project Lien on acme-data-digest and then grant the Project Editor role to the Marketing team. | C. Create another project with the ID acme-marketing-data-digest for the Marketing team and deploy the resources there. | D. Create a new project named Marketing Data Digest and use the ID acme-data-digest. Grant the Project Editor role to the Marketing team.",C
191,"You have deployed multiple Linux instances on Compute Engine. You plan on adding more instances in the coming weeks. You want to be able to access all of these instances through your SSH client over the internet without having to configure specific access on the existing and new instances. You do not want the Compute Engine instances to have a public IP. What should you do?","A. Configure Cloud Identity-Aware Proxy for HTTPS resources. | B. Configure Cloud Identity-Aware Proxy for SSH and TCP resources | C. Create an SSH keypair and store the public key as a project-wide SSH Key. | D. Create an SSH keypair and store the private key as a project-wide SSH Key.",B
192,"You have created an application that is packaged into a Docker image. You want to deploy the Docker image as a workload on Google Kubernetes Engine. What should you do?","A. Upload the image to Cloud Storage and create a Kubernetes Service referencing the image. | B. Upload the image to Cloud Storage and create a Kubernetes Deployment referencing the image. | C. Upload the image to Container Registry and create a Kubernetes Service referencing the image. | D. Upload the image to Container Registry and create a Kubernetes Deployment referencing the image.",D
193,"You are using Data Studio to visualize a table from your data warehouse that is built on top of BigQuery. Data is appended to the data warehouse during the day. At night the daily summary is recalculated by overwriting the table. You just noticed that the charts in Data Studio are broken and you want to analyze the problem. What should you do?","A. Review the Error Reporting page in the Cloud Console to find any errors. | B. Use the BigQuery interface to review the nightly job and look for any errors. | C. Use Cloud Debugger to find out why the data was not refreshed correctly. | D. In Cloud Logging create a filter for your Data Studio report.",B
194,"You have been asked to set up the billing configuration for a new Google Cloud customer. Your customer wants to group resources that share common IAM policies. What should you do?","A. Use labels to group resources that share common IAM policies. | B. Use folders to group resources that share common IAM policies. | C. Set up a proper billing account structure to group IAM policies. | D. Set up a proper project naming structure to group IAM policies.",B
195,"You have been asked to create robust Virtual Private Network (VPN) connectivity between a new Virtual Private Cloud (VPC) and a remote site. Key requirements include dynamic routing a shared address space of 10.19.0.1/22 and no overprovisioning of tunnels during a failover event. You want to follow Google- recommended practices to set up a high availability Cloud VPN. What should you do?","A. Use a custom mode VPC network configure static routes and use active/passive routing. | B. Use an automatic mode VPC network configure static routes and use active/active routing. | C. Use a custom mode VPC network use Cloud Router border gateway protocol (BGP) routes and use active/passive routing. | D. Use an automatic mode VPC network use Cloud Router border gateway protocol (BGP) routes and configure policy-based routing.",C
196,"You are running multiple microservices in a Kubernetes Engine cluster. One microservice is rendering images. The microservice responsible for the image rendering requires a large amount of CPU time compared to the memory it requires. The other microservices are workloads that are optimized for n1-standard machine types. You need to optimize your cluster so that all workloads are using resources as efficiently as possible. What should you do?","A. Assign the pods of the image rendering microservice a higher pod priority than the other microservices. | B. Create a node pool with compute-optimized machine type nodes for the image rendering microservice. Use the node pool with general-purpose machine type nodes for the other microservices. | C. Use the node pool with general-purpose machine type nodes for the image rendering microservice. Create a node pool with compute-optimized machine type nodes for the other microservices. | D. Configure the required amount of CPU and memory in the resource requests specification of the image rendering microservice deployment. Keep the resource requests for the other microservices at the default.",B
197,"Your organization has three existing Google Cloud projects. You need to bill the Marketing department for only their Google Cloud services for a new initiative within their group. What should you do?","A. 1. Verify that you are assigned the Billing Administrator IAM role for your organization's Google Cloud Project for the Marketing department. 2. Link the new project to a Marketing Billing Account. | B. 1. Verify that you are assigned the Billing Administrator IAM role for your organization's Google Cloud account. 2. Create a new Google Cloud Project for the Marketing department. 3. Set the default key-value project labels to department:marketing for all services in this project. | C. 1. Verify that you are assigned the Organization Administrator IAM role for your organization's Google Cloud account. 2. Create a new Google Cloud Project for the Marketing department. 3. Link the new project to a Marketing Billing Account. | D. 1. Verify that you are assigned the Organization Administrator IAM role for your organization's Google Cloud account. 2. Create a new Google Cloud Project for the Marketing department. 3. Set the default key-value project labels to department:marketing for all services in this project.",A
198,"You deployed an application on a managed instance group in Compute Engine. The application accepts Transmission Control Protocol (TCP) traffic on port 389 and requires you to preserve the IP address of the client who is making a request. You want to expose the application to the internet by using a load balancer. What should you do?","A. Expose the application by using an external TCP Network Load Balancer. | B. Expose the application by using a TCP Proxy Load Balancer. | C. Expose the application by using an SSL Proxy Load Balancer. | D. Expose the application by using an internal TCP Network Load Balancer.",A
199,"You are building a multi-player gaming application that will store game information in a database. As the popularity of the application increases you are concerned about delivering consistent performance. You need to ensure an optimal gaming performance for global users without increasing the management complexity. What should you do?","A. Use Cloud SQL database with cross-region replication to store game statistics in the EU US and APAC regions. | B. Use Cloud Spanner to store user data mapped to the game statistics. | C. Use BigQuery to store game statistics with a Redis on Memorystore instance in the front to provide global consistency. | D. Store game statistics in a Bigtable database partitioned by username.",B
200,"You are building an application that stores relational data from users. Users across the globe will use this application. Your CTO is concerned about the scaling requirements because the size of the user base is unknown. You need to implement a database solution that can scale with your user growth with minimum configuration changes. Which storage solution should you use?","A. Cloud SQL | B. Firestore | C. Cloud Spanner | D. Bigtable",C
